name,scryfall_id,set,collector_number,type_line,oracle_text,color_identity
Amy Rose,6ac0c02f-6428-4ed0-bd1a-bf9f4af9c3c1,sld,2083,Legendary Creature — Hedgehog Warrior,"Haste Whenever Amy Rose attacks, attach up to one target Equipment to her. Then up to one other target attacking creature gets +X/+0 until end of turn, where X is Amy Rose's power.",RW
"Amzu, Swarm's Hunger",634f6f70-347e-436f-abf9-4a573472e2c8,clu,24,Legendary Creature — Insect Shaman,"Flying, menace Other Insects you control have menace. Whenever one or more cards leave your graveyard, you may create a 1/1 black and green Insect creature token, then put a number of +1/+1 counters on it equal to the greatest mana value among those cards. Do this only once each turn.",BG
"A-Nadu, Winged Wisdom",ce641c7d-2429-4925-b2a6-6be3656698fc,mh3,A-193,Legendary Creature — Bird Wizard,"Flying Whenever a creature you control becomes the target of a spell or ability, reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand. This ability triggers only twice each turn.",GU
"A-Nael, Avizoa Aeronaut",62ac0052-dd03-4b48-a3a8-15a84fed66d5,dmu,A-207,Legendary Creature — Elf Scout,"Flying Domain — Whenever Nael, Avizoa Aeronaut deals combat damage to a player, look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to one of them on top of your library and the rest on the bottom in a random order. Then if there are five basic land types among lands you control, draw a card.",GU
"Anafenza, Kin-Tree Spirit",1717da7b-9e87-4694-873b-abd4e3bcd5e2,cmm,11,Legendary Creature — Spirit Soldier,"Whenever another nontoken creature you control enters, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",W
"Anafenza, the Foremost",c8b432a7-53da-4480-b571-e6feb1364a3a,ktk,163,Legendary Creature — Human Soldier,"Whenever Anafenza attacks, put a +1/+1 counter on another target tapped creature you control. If a nontoken creature an opponent owns would die or a creature card not on the battlefield would be put into an opponent's graveyard, exile that card instead.",BGW
"Anafenza, Unyielding Lineage",29957f49-9a6b-42f6-b2fb-b48f653ab725,tdm,2,Legendary Creature — Spirit Soldier,"Flash First strike Whenever another nontoken creature you control dies, Anafenza endures 2. (Put two +1/+1 counters on it or create a 2/2 white Spirit creature token.)",W
"Anara, Wolvid Familiar",9a67cfaa-990c-4dcb-97a9-9c5d7316cabe,cmr,214,Legendary Creature — Wolf Beast,"During your turn, commanders you control have indestructible. (Effects that say ""destroy"" don't destroy them. A creature with indestructible can't be destroyed by damage.) Partner (You can have two commanders if both have partner.)",G
"A-Narfi, Betrayer King",2d689fc6-c7b5-46f8-9ec2-2bc4b4af87c0,khm,A-224,Legendary Snow Creature — Zombie Wizard,"Other snow and Zombie creatures you control get +1/+1. {S}{S}{S}: Return Narfi, Betrayer King from your graveyard to the battlefield tapped. ({S} can be paid with one mana from a snow source.)",BU
"A-Nashi, Moon Sage's Scion",a47b49c4-6adb-445b-b0f1-e0391c2f08cf,neo,A-114,Legendary Creature — Rat Ninja,"Ninjutsu {2}{B} ({2}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Whenever Nashi, Moon Sage's Scion deals combat damage to a player, exile the top card of each player's library. Until end of turn, you may play one of those cards. If you cast a spell this way, pay life equal to its mana value rather than paying its mana cost.",B
Anax and Cymede,63cb977e-bd42-43b1-83d1-124e7a413aca,ths,186,Legendary Creature — Human Soldier,"First strike, vigilance Heroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.",RW
"Anax, Hardened in the Forge",ad107ae0-2540-46f8-9970-72983b87ba04,cmm,204,Legendary Enchantment Creature — Demigod,"Anax's power is equal to your devotion to red. (Each {R} in the mana costs of permanents you control counts toward your devotion to red.) Whenever Anax or another nontoken creature you control dies, create a 1/1 red Satyr creature token with ""This token can't block."" If the creature had power 4 or greater, create two of those tokens instead.",R
"Anep, Vizier of Hazoret",295658c4-7ab8-473d-abe1-0b6303b6850f,j25,46,Legendary Creature — Jackal Warrior,"Trample You may exert Anep as it attacks. When you do, exile the top two cards of your library. Until the end of your next turn, you may play those cards. (An exerted creature won't untap during your next untap step.)",R
Angelic Harold,770aa4e1-a28c-45a4-ab8c-185ccaeb86d5,unf,162,Legendary Creature — Angel Performer,"Flying When Angelic Harold enters, you may put a name sticker on a nonland permanent you own. Each creature you control with three or more words in its name gets +1/+1.",UW
Angus Mackenzie,bb3920ac-7d61-494e-b7dd-bd37d4dee143,me3,141,Legendary Creature — Human Cleric,"{G}{W}{U}, {T}: Prevent all combat damage that would be dealt this turn. Activate only before the combat damage step.",GUW
"Anhelo, the Painter",462e887d-6b91-4b31-9487-2780ffe8943f,ncc,1,Legendary Creature — Vampire Assassin,"Deathtouch The first instant or sorcery spell you cast each turn has casualty 2. (As you cast that spell, you may sacrifice a creature with power 2 or greater. When you do, copy the spell and you may choose new targets for the copy.)",BRU
"Anikthea, Hand of Erebos",8b796a56-1611-4835-ac5b-48b4e9263685,cmm,705,Legendary Enchantment Creature — Demigod,"Menace Other enchantment creatures you control have menace. Whenever Anikthea enters or attacks, exile up to one target non-Aura enchantment card from your graveyard. Create a token that's a copy of that card, except it's a 3/3 black Zombie creature in addition to its other types.",BGW
"Animar, Soul of Elements",a3da57d0-1ae3-4f05-a52d-eb76ad56cae7,2x2,171,Legendary Creature — Elemental,"Protection from white and from black Whenever you cast a creature spell, put a +1/+1 counter on Animar. Creature spells you cast cost {1} less to cast for each +1/+1 counter on Animar.",GRU
"Anim Pakal, Thousandth Moon",868856b7-8875-43c1-8249-0f8fb2c8319b,lci,223,Legendary Creature — Human Soldier,"Whenever you attack with one or more non-Gnome creatures, put a +1/+1 counter on Anim Pakal, then create X 1/1 colorless Gnome artifact creature tokens that are tapped and attacking, where X is the number of +1/+1 counters on Anim Pakal.",RW
Anje Falkenrath,913dd06f-ed2f-4128-9c9d-9cd0d8a55425,c19,37,Legendary Creature — Vampire,"Haste {T}, Discard a card: Draw a card. Whenever you discard a card, if it has madness, untap Anje Falkenrath.",BR
"Anje, Maid of Dishonor",1bfac4ab-97f1-448c-8554-42ed03eb5656,vow,231,Legendary Creature — Vampire,"Whenever Anje and/or one or more other Vampires you control enter, create a Blood token. This ability triggers only once each turn. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."") {2}, Sacrifice another creature or a Blood token: Each opponent loses 2 life and you gain 2 life.",BR
"Annie Flash, the Veteran",8d4af7c3-a70d-4f71-b27d-b268c4a0f81e,otj,190,Legendary Creature — Human Rogue,"Flash When Annie Flash enters, if you cast it, return target permanent card with mana value 3 or less from your graveyard to the battlefield tapped. Whenever Annie Flash becomes tapped, exile the top two cards of your library. You may play those cards this turn.",GRW
"Anowon, the Ruin Sage",b8630ae1-8fe9-4d6e-899b-a28d86d4d729,voc,118,Legendary Creature — Vampire Shaman,"At the beginning of your upkeep, each player sacrifices a non-Vampire creature of their choice.",B
"Anowon, the Ruin Thief",bca84fc4-4710-44c8-b90a-73ef888714d8,znc,1,Legendary Creature — Vampire Rogue,"Other Rogues you control get +1/+1. Whenever one or more Rogues you control deal combat damage to a player, that player mills a card for each 1 damage dealt to them. If the player mills at least one creature card this way, you draw a card. (To mill a card, a player puts the top card of their library into their graveyard.)",BU
Anrakyr the Traveller,6ea09406-c65e-4ee4-9c74-0553e5110837,40k,28,Legendary Artifact Creature — Necron,"Lord of the Pyrrhian Legions — Whenever Anrakyr the Traveller attacks, you may cast an artifact spell from your hand or graveyard by paying life equal to its mana value rather than paying its mana cost.",B
"Anthousa, Setessan Hero",ca89e4d4-185d-4a08-b7af-03f6eff38ba3,ths,149,Legendary Creature — Human Warrior,"Heroic — Whenever you cast a spell that targets Anthousa, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.",G
"Anti-Venom, Horrifying Healer",560384fe-7be0-4b93-a515-2fe687ab2492,spm,1,Legendary Creature — Symbiote Hero,"When Anti-Venom enters, if he was cast, return target creature card from your graveyard to the battlefield. If damage would be dealt to Anti-Venom, prevent that damage and put that many +1/+1 counters on him.",W
"Anya, Merciless Angel",0526277f-538b-42d0-8c75-c390f599b94e,mkc,199,Legendary Creature — Angel,"Flying Anya gets +3/+3 for each opponent whose life total is less than half their starting life total. As long as an opponent's life total is less than half their starting life total, Anya has indestructible.",RW
"Anzrag, the Quake-Mole",70e9d8b8-4b32-4414-b32f-1f47523239c5,mkm,186,Legendary Creature — Mole God,"Whenever Anzrag becomes blocked, untap each creature you control. After this phase, there is an additional combat phase. {3}{R}{R}{G}{G}: Anzrag must be blocked each combat this turn if able.",GR
"A-Omnath, Locus of Creation",b5f5fbd5-b045-4da7-a996-54f163b35b8d,znr,A-232,Legendary Creature — Elemental,"When Omnath, Locus of Creation enters, draw a card. Landfall — Whenever a land enters under your control, you gain 4 life if this is the first time this ability has resolved this turn. If it's the second time, add {R}{G}{W}{U}. If it's the third time, Omnath deals 4 damage to each opponent and each planeswalker you don't control.",GRUW
"Ao, the Dawn Sky",8d2c4063-7322-4041-a870-b95598a03e29,neo,2,Legendary Creature — Dragon Spirit,"Flying, vigilance When Ao dies, choose one — • Look at the top seven cards of your library. Put any number of nonland permanent cards with total mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order. • Put two +1/+1 counters on each permanent you control that's a creature or Vehicle.",W
"Aphelia, Viper Whisperer",1a0867be-a861-4fb4-b8ff-cb2966193755,j25,40,Legendary Creature — Gorgon Assassin,"Deathtouch Whenever Aphelia attacks, you may pay {1}{B/G}. If you do, create a 1/1 black Snake creature token with deathtouch. {4}{B}: Until end of turn, whenever one or more Gorgons and/or Snakes you control deal combat damage to a player, that player loses half their life, rounded up.",BG
"Aphemia, the Cacophony",5b359607-d699-4ba9-a438-48f0dd8f1bf5,thb,84,Legendary Enchantment Creature — Harpy,"Flying At the beginning of your end step, you may exile an enchantment card from your graveyard. If you do, create a 2/2 black Zombie creature token.",B
"A-Phylath, World Sculptor",e0c4a2f5-b942-4c94-b28c-e04d0609cfb3,znr,A-234,Legendary Creature — Elemental,"Trample When Phylath, World Sculptor enters, create a 0/1 green Plant creature token for each basic land you control. Landfall — Whenever a land enters under your control, put four +1/+1 counters on target Plant you control. It gains trample until end of turn.",GR
Apothecary White,4fedf84e-55ca-4334-a2c1-6e991112bb68,clu,1,Legendary Creature — Human Cleric,"Vigilance Whenever you attack, you create a Food token for each player being attacked. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."") {W}, {T}, Tap X untapped Foods you control: Create X 1/1 white Human creature tokens.",W
"Appa, Aang's Companion",1c5ae0d3-26e4-4d10-85ae-0578cf90eead,tle,214,Legendary Creature — Bison Ally,"Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever Appa attacks, another target attacking creature without flying gains flying until end of turn.",W
"Appa, Steadfast Guardian",829d91e9-4878-4e55-a262-ac0d55b65d4e,tla,10,Legendary Creature — Bison Ally,"Flash Flying When Appa enters, airbend any number of other target nonland permanents you control. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.) Whenever you cast a spell from exile, create a 1/1 white Ally creature token.",W
"A-Queza, Augur of Agonies",6c3da27e-4fdd-46ce-bb81-0b2dfec1c6ed,snc,A-212,Legendary Creature — Octopus Advisor,"Vigilance Whenever you draw a card, target opponent loses 1 life and you gain 1 life.",BUW
"Arabella, Abandoned Doll",f683d5a1-b8bf-446f-9fe3-88a4398bf3cf,dsk,208,Legendary Artifact Creature — Toy,"Whenever Arabella attacks, it deals X damage to each opponent and you gain X life, where X is the number of creatures you control with power 2 or less.",RW
